,TIPO,SECTOR,LATITUD,LONGITUD,NOMBRE LOCAL,DIRECCION,CIUDAD,COMUNIDAD AUTONOMA,PROVINCIA,USUARIO DE EMPRESA,EMAIL,TELEFONO,ACUM VERDE,ACUM AMARILLO,ACUM ROJO,VALORACIONES,CERTIFICACION,IMAGEN
175,restaurante,hostelería,41.3791877,2.1606251,Market Restaurant,Carrer del Comte Borrell 68,Barcelona,Cataluña,Barcelona,,,,,,,,,
176,restaurante,hostelería,41.3500085,2.073126,Bar Narvaez,,Barcelona,Cataluña,Barcelona,,,,,,,,,
177,restaurante,hostelería,41.4497454,2.2188824,Bar Mariscal,Plaça del Rellotge 2,Barcelona,Cataluña,Barcelona,,,,,,,,,
178,restaurante,hostelería,41.4488957,2.2185568,Wen Zhou,Carrer de Terrassa 5,Barcelona,Cataluña,Barcelona,,,,,,,,,
179,restaurante,hostelería,41.3693715,2.1640713,el Xalet,,Barcelona,Cataluña,Barcelona,,,,,,,,,
180,restaurante,hostelería,41.3916202,2.15248,Paco Meralgo,Carrer de Muntaner 171,Barcelona,Cataluña,Barcelona,,,,,,,,,
181,restaurante,hostelería,41.3805658,2.1877114,La Bombeta,,Barcelona,Cataluña,Barcelona,,,,,,,,,
182,restaurante,hostelería,41.4045293,2.1554985,I Què?,Carrer del Topazi 8,Barcelona,Cataluña,Barcelona,,,,,,,,,
183,restaurante,hostelería,41.4091985,2.1763844,Restaurant Japonés Tian Fu,Carrer de Còrsega 610,Barcelona,Cataluña,Barcelona,,,,,,,,,
184,restaurante,hostelería,41.4525743,2.2190417,Marisquería Brasería Loli y Valentín,Rambla del Fondo 74,Barcelona,Cataluña,Barcelona,,,,,,,,,
185,restaurante,hostelería,41.4028189,2.1563883,La Taberna Griega,Carrer del Torrent de l'Olla 123,Barcelona,Cataluña,Barcelona,,,,,,,,,
186,restaurante,hostelería,41.3826388,2.1615661,El Porxet,Carrer de Sepúlveda 159,Barcelona,Cataluña,Barcelona,,,,,,,,,
187,restaurante,hostelería,41.3827219,2.1847191,Oasis Restaurant,,Barcelona,Cataluña,Barcelona,,,,,,,,,
188,restaurante,hostelería,41.3786578,2.1905772,Can Santi,Carrer de Pepe Rubianes 25,Barcelona,Cataluña,Barcelona,,,,,,,,,
189,restaurante,hostelería,41.379111,2.1919227,Woki organic market,Paseo Barceloneta 1,Barcelona,Cataluña,Barcelona,,,,,,,,,
190,restaurante,hostelería,41.3844325,2.1845326,Restaurant Terminus,,Barcelona,Cataluña,Barcelona,,,,,,,,,
191,restaurante,hostelería,41.4110416,2.1770036,El Racó de la Mercè,Carrer del Dos de Maig 314,Barcelona,Cataluña,Barcelona,,,,,,,,,
192,restaurante,hostelería,41.4011794,2.1609935,Resolis,Carrer de Tordera 28,Barcelona,Cataluña,Barcelona,,,,,,,,,
193,restaurante,hostelería,41.3884657,2.1505943,Salzburg,Carrer del Comte d'Urgell 204,Barcelona,Cataluña,Barcelona,,,,,,,,,
194,restaurante,hostelería,41.388556,2.158145,Albarakah,Carrer de València 204,Barcelona,Cataluña,Barcelona,,,,,,,,,
195,restaurante,hostelería,41.3816402,2.1713753,Bar Central,,Barcelona,Cataluña,Barcelona,,,,,,,,,
196,restaurante,hostelería,41.4313496,2.1812074,Restaurant All i Oli,,Barcelona,Cataluña,Barcelona,,,,,,,,,
197,restaurante,hostelería,41.389566,2.16114,Bar Davos,,Barcelona,Cataluña,Barcelona,,,,,,,,,
198,restaurante,hostelería,41.3896216,2.1598754,Cervesería Piola,Carrer d'Enric Granados 35,Barcelona,Cataluña,Barcelona,,,,,,,,,
199,restaurante,hostelería,41.388572,2.156868,Out of China,Muntaner 100,Barcelona,Cataluña,Barcelona,,,,,,,,,
200,restaurante,hostelería,41.4300847,2.1822508,Yamato,,Barcelona,Cataluña,Barcelona,,,,,,,,,
201,restaurante,hostelería,41.4300894,2.1803999,Huang Cheng,,Barcelona,Cataluña,Barcelona,,,,,,,,,
202,restaurante,hostelería,41.3902658,2.15992,Yakumanka,Carrer de València 207,Barcelona,Cataluña,Barcelona,,,,,,,,,
